#VERSION 2
#CUTPLANS
{c7db6a84-d7e5-40f3-98d0-e8745b0245bf};34;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-C-061;11379328;;RST-C-061;1525
{0910f962-561f-4b2d-9949-d9531f619362};{d888b7bb-45d8-4f3f-83fb-a563077af1ba};1225;NP-TF-9010;292
{0910f962-561f-4b2d-9949-d9531f619362};{73588980-274f-432e-8251-fc22127de586};2465;NP-TF-9010;293
{0910f962-561f-4b2d-9949-d9531f619362};{6b454132-1d5d-48d8-b3fb-f72692964c2b};1120;NP-TF-9010;294
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};{e11fb32c-9149-46bb-a89b-db8262482c6d};825;NP-BAR22-3000;290
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};{ac90c3be-9b61-4301-92f5-2132dcc0162f};1055;NP-BAR22-3000;292
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};{ded9f1e3-55b1-4005-82bb-59e1b6291d00};2295;NP-BAR22-3000;293
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};{7b8cea70-e85c-4b3f-bc67-cfd09baace80};950;NP-BAR22-3000;294
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};{27cf481f-5565-4cdf-ad6b-2fa321495527};205;NP-BAR22-3000;297
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};{9745d703-9bf1-466b-9466-580240c0ea44};605;NP-BAR22-3000;298
{01f00686-1825-4423-9d4e-1d9da35ef301};{cc574e72-9964-4449-be61-b594f8553bce};970;NP-T-9010;290
{01f00686-1825-4423-9d4e-1d9da35ef301};{69c603b0-4e45-4fae-9152-231977bbc2fc};1200;NP-T-9010;292
{01f00686-1825-4423-9d4e-1d9da35ef301};{b142b105-a9b9-40c1-a52c-4a7aa677c026};2440;NP-T-9010;293
{01f00686-1825-4423-9d4e-1d9da35ef301};{51fa340a-35c1-4db9-90c1-f2465df56a35};1095;NP-T-9010;294
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};{459a2866-8bf9-4309-9686-73c33edb6e4a};889;NP-ROLL70-5000;290
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};{062ab4ea-e542-4a70-8c64-2f38735970ea};1119;NP-ROLL70-5000;292
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};{6345bbf0-e7d8-4af4-9a3e-2c78775c5d20};2359;NP-ROLL70-5000;293
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};{aa9b8169-f8b7-4065-9a48-bdd7a7efb4e7};1014;NP-ROLL70-5000;294
{294009cd-50b5-4f44-a07f-e9c9754921f8};{9c3a242b-7d56-406d-9a59-79db6eaa5b9e};877;NP-CZ-9010;290
{294009cd-50b5-4f44-a07f-e9c9754921f8};{f72113fc-c1c1-4e89-8af0-b90390706b6e};2312;NP-CZ-9010;291
{294009cd-50b5-4f44-a07f-e9c9754921f8};{3c7a9891-22cb-4285-b298-18ce9fe57452};3657;NP-CZ-9010;298
{e54b91b2-021c-4cf3-8599-2166f7fbb748};{9dac1641-7d5e-4682-a594-b549965291df};1925;NP-TF-9010;297
{e54b91b2-021c-4cf3-8599-2166f7fbb748};{7691be42-8760-4770-b79f-1d6ce90596e1};3775;NP-TF-9010;298
{415d4fb1-b97d-4216-aea0-96798b6cf322};{7ae9d0eb-c0dd-4153-aa77-d77317c1f462};1900;NP-T-9010;297
{415d4fb1-b97d-4216-aea0-96798b6cf322};{8c2b45a8-17bf-404c-8ac9-5b4fc87b98f7};3750;NP-T-9010;298
{7e320a77-b20e-4e52-a446-53aa96005e5d};{9f06ce86-83c8-4e4f-adbe-a709900c5c58};2339;NP-ROLL70-5000;289
{7e320a77-b20e-4e52-a446-53aa96005e5d};{2b7f203d-0051-4428-be14-6bd0759294c2};2324;NP-ROLL70-5000;291
{add19b1b-5958-4de3-8b69-efdc6faddfc8};{d667023f-3842-4b8f-8005-233e1efebc0f};2445;NP-TF-9010;289
{add19b1b-5958-4de3-8b69-efdc6faddfc8};{fd491944-690f-4f7c-a8d1-184fcbb4b57e};2430;NP-TF-9010;291
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};{c76fc531-b78a-420a-ad17-fc01567b7d05};2275;NP-BAR22-3000;289
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};{780ed2d0-88b3-46b9-bc51-ce4830bbaf65};2260;NP-BAR22-3000;291
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};{bd4d49a7-175b-4399-8ff4-d2e81bb57768};2420;NP-T-9010;289
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};{4a57f4c1-9b62-4bf5-99a2-bac7904ff1cb};2405;NP-T-9010;291
{2ef9f44b-8a1e-4e82-9470-632602bb35b4};{978c9a21-bab4-4c87-a927-dc95d60ce558};1807;NP-CZ-9010;297
{4dc5d9e5-8945-458b-a900-74decbbea9b4};{fd8a3389-fd3b-4b9f-a62e-c6b921100987};1819;NP-ROLL70-5000;297
{7f40e195-5b88-4c62-a827-ce8a045f65cb};{bc55e157-aee4-423a-84ed-a5d00f61c9e0};3669;NP-ROLL78-7000;298
#LEFTOVERS
{c7db6a84-d7e5-40f3-98d0-e8745b0245bf};selejt;0
{50ab31b2-8122-4481-89a9-4122fdc62fb9};selejt;0
{1b6daecc-47f0-4d1f-b1bb-b924a718260e};selejt;186
{0910f962-561f-4b2d-9949-d9531f619362};selejt;164
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};selejt;201
{01f00686-1825-4423-9d4e-1d9da35ef301};selejt;264
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};selejt;609
{294009cd-50b5-4f44-a07f-e9c9754921f8};selejt;126.2
{e54b91b2-021c-4cf3-8599-2166f7fbb748};selejt;275.4
{415d4fb1-b97d-4216-aea0-96798b6cf322};selejt;325.4
{7e320a77-b20e-4e52-a446-53aa96005e5d};RST-C-339;1331
{add19b1b-5958-4de3-8b69-efdc6faddfc8};RST-C-340;1100.4
{dee00a0e-c291-45b8-8bb6-55b00b670fbd};RST-C-341;1609
{5c31fbf5-9bcc-4c20-8ad5-7065f3cb7319};RST-C-342;1150.4
{2ef9f44b-8a1e-4e82-9470-632602bb35b4};RST-C-343;5171.6
{4dc5d9e5-8945-458b-a900-74decbbea9b4};RST-C-344;4177
{7f40e195-5b88-4c62-a827-ce8a045f65cb};RST-C-345;3327
