#VERSION 2
#CUTPLANS
{757395d6-b93b-45d1-ab30-f362d42ab0f4};23;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;37287716;;RSM-561;1305
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};selejt;565.4
{a9d391ab-9473-4730-946e-ae941b51409a};RST-B-786;2825.4
{4c0a1252-539b-4056-a293-6a7c21c4a82e};RST-B-787;1999.8
{3200dd3c-0fb3-482e-9fd9-6935185fc758};RST-B-788;3376
{4b8ec267-f28c-4de7-9389-ac15ec9b637a};selejt;486.8
{e0e8f80f-d040-41b6-a27d-4e265b2f5b25};selejt;416.8
{5464ca81-41d0-48c4-9176-56f307c87f32};RST-B-789;4111.6
{838ec82d-07e0-40f2-aef1-4ffa4d39f261};RST-B-790;2553
{958bea64-4660-449d-b7cf-0ddd81bca5f0};RST-B-791;3483.6
{465ff1af-efb2-425c-a9fd-55b1958ec0d3};selejt;211.8
{c0dbdd1d-f324-4947-8be8-525a01686e55};RST-B-792;4111.6
{c67fe23e-752c-4c40-b9ed-f3e226ec90aa};RST-B-793;1581
{37d94171-7f41-42cb-8afd-17c6e8004883};RST-B-794;3126.6
