#VERSION 2
#CUTPLANS
{2fcfcb16-9be4-445a-9f64-a6dc08e907dd};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-483;20454660;;RSM-483;1730
{525a21a2-26d7-4c7b-a9a5-e524c20e430b};{33952a65-6a3f-4fbf-aa15-541e2d56ddc5};1950;NP-TF-9010;241
{33bc4eb5-e4c5-4537-8c76-ada93b621671};{0697ea21-7ecf-4c74-98f7-214ed397cfd3};1807;NP-ROLL70-5000;244
{247a1b01-a408-48b8-9284-1d1bc6491874};{26efda94-3ca2-4a05-b706-41debdf6758c};2585;NP-T-9010;235
{247a1b01-a408-48b8-9284-1d1bc6491874};{3f262abd-80da-42be-afad-dc818d202ee1};2635;NP-T-9010;237
{247a1b01-a408-48b8-9284-1d1bc6491874};{b57182bb-53f0-4bb1-bc2e-f6f66414519c};675;NP-T-9010;238
{934e780c-c13b-4d41-a7ad-8269b843fa19};{060bc7f4-d9d8-4a8f-9718-bcf07e8f2479};2508;NP-SL2-9010;235
{934e780c-c13b-4d41-a7ad-8269b843fa19};{6c5d483c-eda3-4e2c-9218-96db744054b4};2508;NP-SL2-9010;236
{751427b1-1e93-4075-bfa5-fd4043e5f072};{d1537f10-766a-4580-820e-d0313fff4062};621;NP-ROLL70-5000;238
{3a3f8611-3ec9-46e6-ba55-3420be2b61e8};{80f00bbb-1546-4b82-b7c0-067d9d9488e2};355;NP-BAR12-4000;236
{3a3f8611-3ec9-46e6-ba55-3420be2b61e8};{9d9f7056-f044-47d2-9e38-04a14d33a18f};560;NP-BAR12-4000;238
{a1402e99-af06-4f98-83ed-b6ce9328f583};{7f348686-dcae-4b3c-adf4-f6bc526faffe};2155;NP-SZ-9010;236
{a1402e99-af06-4f98-83ed-b6ce9328f583};{1e2b347f-dfc1-48dd-8976-1d3bcb9c9457};2565;NP-SZ-9010;237
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};{23ad4759-b6a5-4bc4-ab63-56f451fc3343};2585;NP-TF-9010;235
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};{03538720-8f8d-4b06-be6c-34f21c8fe919};2635;NP-TF-9010;237
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};{7e2a7df2-aada-4c4c-847b-23333508fa9a};675;NP-TF-9010;238
{c737768c-b1f2-477b-8870-cf20664f3f43};{c6b676fd-a8ed-4a73-b9fa-7915bd833704};2181;NP-ROLL70-5000;236
{c737768c-b1f2-477b-8870-cf20664f3f43};{a66c7655-732d-4793-bd13-a74d5cd770dd};2591;NP-ROLL70-5000;237
{49425377-9d15-48cb-acc3-da716bec8435};{32fc2fbb-3f88-43e8-9c11-c95c2d5a5864};1835;NP-BAR22-3000;245
{54de0445-18f2-499a-a593-1ca2aa092db4};{f64b1c44-c838-49c6-829d-2bb428efed32};2248;NP-SL2-9010;237
{54de0445-18f2-499a-a593-1ca2aa092db4};{67b2a3af-4b8e-4c67-9ab0-1035b6eeb84c};2508;NP-SL2-9010;238
{10e47e4a-9ba9-45b0-b718-b502e1ba8970};{4062363f-8659-4b39-ac51-75145392da24};2520;NP-BAR12-4000;237
{86c9a45b-c88b-428b-8a88-fb1c29bf1e2f};{c7cd613f-098c-47f0-b0ba-9cd76f7df162};2515;NP-SZ-9010;235
{86c9a45b-c88b-428b-8a88-fb1c29bf1e2f};{6c403ed0-796d-41bf-ba40-85a80016399e};605;NP-SZ-9010;238
{2c6a09b2-c287-48ed-bb23-75f5c70ef84f};{05d28168-2e0c-4f0c-a388-53f3a3eb788b};1888;NP-T-7016;244
{ecedccad-ad73-4c07-8a2b-12c7378ad07b};{4d2c7536-428c-4d9a-869b-ee7c0801c462};2225;NP-T-9010;236
{ecedccad-ad73-4c07-8a2b-12c7378ad07b};{fdda17ba-a631-48fe-84eb-4a16ee1dc148};1925;NP-T-9010;241
{70c85ef1-e764-4809-a69e-95e96f66d996};{b54c6b99-df7b-49fd-aa7f-cd9dbde2caa1};1795;NP-CL2+CLT2+CLB2-7016;244
{3fc197f8-b140-449d-87fe-e9f999c31d57};{84584027-8fee-4b9b-aec3-fd8df5a81c27};1780;NP-BAR22-3000;241
{bd5396b1-c34b-4614-99c7-3b30d0a2163d};{b0ad3212-a75c-4937-ac0e-bc01807576f4};1795;NP-CZ-7016;244
