#VERSION 2
#CUTPLANS
{af829b96-451d-41a7-9f26-648f7d9ab0eb};{735f73a5-5ba1-4269-b0a2-9ebcbbd147a5};2825;NP-SZ;325 1/2
{af829b96-451d-41a7-9f26-648f7d9ab0eb};{6ffa6ff3-a48a-4205-86a1-e6c872ca37c8};2825;NP-SZ;325 2/2
{fc1a2637-7161-4e21-8349-3c183d91226b};{fd0edd2c-acd1-4833-bfab-6517bdca0cd3};2895;NP-T;325 1/2
{fc1a2637-7161-4e21-8349-3c183d91226b};{f053c1d6-329c-49b6-959b-a83815af41fc};2895;NP-T;325 2/2
{c33e4155-af59-4752-81b5-9967cfd7d439};{c21fee12-b8ba-49fd-9af4-bd8dbdf342a0};2780;NP-BAR12-4000;325 1/2
{5ce62ab4-fb21-4d2c-88fa-2acf0eee6082};{91899c41-f50f-4a8c-9d5d-98969748cca9};2735;NP-ROLL70-5000;311 1/2
{19996193-f2dc-49f6-a59d-c08146460f98};{69818cdb-8e8e-4f0a-b373-bd11002e11e1};2780;NP-BAR12-4000;325 2/2
{85c24621-ee2b-4a1c-8de6-779e02563c7a};{3cc94481-311a-4240-8961-65317fb619d4};2735;NP-ROLL70-5000;311 2/2
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};{3f5a0da9-7f93-4699-8e8e-caf79ff4055b};2675;NP-BAR22-3000;311 1/2
{3312cb07-2520-4e52-a42d-6ac1d0f37de6};{44b18399-46f7-43ec-b62e-85ffcab67120};2675;NP-BAR22-3000;311 2/2
{3c8001b1-f446-4aa7-82df-4a3cdf643cb7};{e40e287d-678f-4f93-958d-6e3ed05599d0};2727;NP-CZ-9010;311 1/2
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};{b19536f4-434d-4af5-9cdc-a9946d9bdee4};2145;NP-TF;326
{88cfc774-63de-4fe0-b9fa-1f19edc141e4};{8d7ccafe-db69-4c9f-aa7e-3dc3a12024c1};2395;NP-TF;327
{b383ae63-71cc-42b6-94d0-73c8fbb5a448};{33d0c987-7cda-450f-8192-c6711994720e};2845;NP-TF-9010;311 1/2
