#VERSION 2
#CUTPLANS
{98ba4e51-9dfd-4add-ba95-d427a6165871};{801c631b-9605-45c8-bb4d-566ae0f6b013};1647;NP-CL;223
{2d2d2652-40cb-47b0-936a-a64216f54100};{4a0af2fd-f3c3-4449-92ca-efb45e396705};3215;NP-TF;223
{2d2d2652-40cb-47b0-936a-a64216f54100};{d2b0ebda-499d-472e-a86d-f826ee4ac368};1350;NP-TF;230
{2d2d2652-40cb-47b0-936a-a64216f54100};{c3415459-9a1d-4e19-92b5-b7c2d44da7f8};1300;NP-TF;231
{18871e92-9d0c-4ca5-a7a9-63fc39613197};{734b31e5-0642-48e5-87b8-aeb89b20bf82};1647;NP-CLB;223
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};{e8cc1012-a3be-45ea-90cd-38d740e54dc0};45;NP-BAR22-3000;223
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};{e3499e1d-e421-4eca-8630-e110c580b38f};100;NP-BAR22-3000;231
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};{a98e85c0-fed5-470c-a1d7-4a7d6a1094af};145;NP-BAR22-3000;232
{f53798c3-4424-4ac5-96d9-20dab9332c19};{9522aa02-bb9f-4783-9269-0f07812d2708};2462;NP-CLT;230
{f53798c3-4424-4ac5-96d9-20dab9332c19};{89d0e001-b62c-447d-b56d-a1d52acef7fa};2462;NP-CLT;231
{64c725b1-791b-4545-8366-eab2a823ef6d};{a32fcee0-0682-45da-9091-ac09fd1a68b5};2462;NP-CLT;232
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};{ff747c39-3dd4-4f9a-8fbe-360b019640da};2462;NP-CL;230
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};{aa929958-732b-41fb-b03e-ddbabe0b75ed};2462;NP-CL;231
{e5ecb6aa-f59c-4916-b4fa-cf7cdb38ece3};{dea06072-76a7-4dbb-b08c-3390b852c353};2462;NP-CL;232
{a9978507-fb9a-4dfb-bfad-bb7dd52b1efe};{3b438080-235e-42b8-9f12-336bc5c23f18};2462;NP-CLB;230
{761efbfa-b49c-4f15-97c7-052e0231fd8e};{b20a7286-e3ba-454c-baf5-ffc7fc7d08b4};3097;NP-CZ;223
{761efbfa-b49c-4f15-97c7-052e0231fd8e};{87c6ef7a-8fe2-4a06-a055-a191bfacb65f};1182;NP-CZ;231
{fa513286-89ea-4162-8336-dba0f7def7b3};{c25be657-ba3c-4479-b973-e4517deee7c7};1194;NP-ROLL70-5000;231
{8cd9b964-c68c-4e14-8259-a99404567405};{0416a370-d33c-4149-972a-4a61bf387066};2462;NP-CLB;231
{8cd9b964-c68c-4e14-8259-a99404567405};{a467f032-b0f7-4129-a2b1-d507e700a369};2462;NP-CLB;232
{33f85d73-3c46-4c1b-8e57-1dea8846264e};{da816631-904e-467e-800f-4c329bd928e3};1650;NP-T;232
{a000730a-54c0-4594-83d1-faa9a932a6e0};{c6375d23-5501-49b2-9fa0-470e43341fa4};3109;NP-ROLL70-5000;223
{9d199d18-bbe7-48c3-89ac-58e2c36d598b};{434180b6-d81f-4a37-a2b3-190ef4b961d7};1675;NP-TF;232
{1f465a2b-97aa-4ad7-8b2f-6a7b11a87e51};{7dd96cf1-a88e-43e3-b443-93353fc6c67e};1180;NP-BAR22-3000;230
#LEFTOVERS
{04629b7b-4666-48ad-8a2c-d1c2a8be39c0};selejt;0
{af0da386-1a2a-4525-8bd8-b835f67b0f9c};selejt;0
{1df325f8-7e87-478f-bed0-0b72a6cce2b4};selejt;0
{26362186-e775-4e99-a334-41eec2aa5067};RST-J-321;1104.6
{e0cbf6e8-6f60-435a-8c78-0c3201f86af8};selejt;182.2
{fd28a8ba-1b36-432b-a60f-f4fc39753619};RST-J-322;833
{451f9fa2-743d-4a1b-865c-b52bfe0fabf1};selejt;99.8
{98ba4e51-9dfd-4add-ba95-d427a6165871};selejt;149.8
{2d2d2652-40cb-47b0-936a-a64216f54100};selejt;107.2
{18871e92-9d0c-4ca5-a7a9-63fc39613197};selejt;124.8
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};RST-J-323;754
{f53798c3-4424-4ac5-96d9-20dab9332c19};RST-J-324;2051.4
{64c725b1-791b-4545-8366-eab2a823ef6d};RST-J-325;4516.6
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};RST-J-326;2051.4
{e5ecb6aa-f59c-4916-b4fa-cf7cdb38ece3};RST-J-327;4516.6
{a9978507-fb9a-4dfb-bfad-bb7dd52b1efe};RST-J-328;1059.8
{761efbfa-b49c-4f15-97c7-052e0231fd8e};RST-J-329;2696.4
{fa513286-89ea-4162-8336-dba0f7def7b3};RST-J-330;824
{8cd9b964-c68c-4e14-8259-a99404567405};RST-J-331;1066.4
{33f85d73-3c46-4c1b-8e57-1dea8846264e};RST-J-332;4328.6
{a000730a-54c0-4594-83d1-faa9a932a6e0};RST-J-333;1887
{9d199d18-bbe7-48c3-89ac-58e2c36d598b};RST-J-334;4303.6
{1f465a2b-97aa-4ad7-8b2f-6a7b11a87e51};selejt;3
