#VERSION 2
#CUTPLANS
{9f82365a-0ebc-46d3-8f45-16dcb33ca82c};{4e9c4345-5b08-4908-b009-4e67dd8bb510};1650;NP-T;232
{8820219c-8fdd-4dc3-9121-0d600e5834ce};{97b57f8a-7ce3-4622-a9c4-c4f5bcee8b16};1180;NP-BAR22-3000;230
{e5b3dfd4-610e-43d3-973e-cc62158e0455};{ce99c188-667d-46ba-a3d0-53e141f01589};1675;NP-TF;232
{ccb1ce06-c9fe-4b1b-ad5c-dcd4c46bf082};{f5f45dde-03f2-4672-8c6a-f08f61140c47};3097;NP-CZ;223
{eae36a37-fef3-48ce-bfc0-68cae5ee3b2a};{377cb289-f75a-4e58-8ca0-e0a7c19f60fe};2462;NP-CLB;232
#LEFTOVERS
{14cd3bc4-35a9-4051-8260-17388bb7cc92};selejt;0
{b403d72b-84c1-49f6-bc12-f34d3ac98489};selejt;0
{1a0ed551-1456-487f-a353-99301ea3d788};selejt;0
{a650f7a2-db7f-47ea-9d5a-4f9116bb0ab7};RST-J-217;849.8
{85c86869-e97a-419c-acba-94e0f8c81874};RST-J-218;833
{d05df512-5aff-4ad8-b668-f259bad356eb};selejt;99.8
{b1be717d-22d0-4684-844c-ee65341d1b8c};selejt;182.2
{1611e914-5cfd-456e-a3f5-ad1846843a85};RST-J-219;754
{ad3f6503-0004-4baf-83dc-4132910b196b};selejt;107.2
{dd01f570-0fff-490e-85ff-59c542f91055};RST-J-220;1104.6
{7c555251-d66e-48fe-87cb-5904d2e4c32a};selejt;124.8
{5eebc688-7c14-4ba5-85d6-eed33322f981};RST-J-221;2051.4
{e75dd485-e006-47c5-a7b8-b7e44f0de9f3};RST-J-222;4516.6
{1be24f44-3074-4ea2-8d81-ef1c3ab61217};RST-J-223;2051.4
{65e7968f-9d87-44e5-9d05-3e61db651e4b};RST-J-224;4516.6
{35155aaf-ff70-4495-a4a4-3a085188b3b3};RST-J-225;1066.4
{e888e048-2e63-49b2-bb7d-03374f74343d};RST-J-226;824
{a9be11f2-2db5-443a-a986-649c007aa42b};selejt;589.8
{f0fd17e2-1a89-4604-a1a8-f9f9a9df739d};RST-J-227;1887
{9f82365a-0ebc-46d3-8f45-16dcb33ca82c};RST-J-228;4328.6
{8820219c-8fdd-4dc3-9121-0d600e5834ce};selejt;3
{e5b3dfd4-610e-43d3-973e-cc62158e0455};RST-J-229;4303.6
{ccb1ce06-c9fe-4b1b-ad5c-dcd4c46bf082};RST-J-230;3881.6
{eae36a37-fef3-48ce-bfc0-68cae5ee3b2a};RST-J-231;3531.6
