#VERSION 2
#CUTPLANS
{982ebe8f-fff8-4df2-ac06-b1a8a676a555};2;P;3820;MAT-N-194;{b9c3b50f-e184-493a-8a82-9e2c9fa9ab9c};139
{982ebe8f-fff8-4df2-ac06-b1a8a676a555};3;K;3.2;KERF;{b9c3b50f-e184-493a-8a82-9e2c9fa9ab9c};139
#PIECES
{e9f5681f-9ef9-4690-93f0-fc036f5df0ae};{a359ac45-8d1d-4d2d-be5c-7c304a6fe681};2195;NP-BAR12-4000;133
{d00fc2a9-50a7-499a-a7e4-9517756f7240};{a8051e33-dd11-491f-bd7e-29bc708085d1};3739;NP-ROLL70-6000;127
{d00fc2a9-50a7-499a-a7e4-9517756f7240};{4457da94-61cb-4a77-80d5-55848e99eb9d};2189;NP-ROLL70-6000;148
{375d4b1d-ef32-4d98-a9dc-67db732f527a};{22832675-38b1-46e1-a2cd-d4a35d9c6d44};2295;NP-TF-7016;148
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};{97edf557-1019-4bf8-b591-1b1b351b20b6};2515;NP-T-7016;133
{4ccb12f7-0020-4943-a2a8-a1056e6389d3};{f154d90e-25be-44fd-ad81-6cf81be1195a};2270;NP-T-7016;148
{2604821c-06c6-4888-8c0b-5967c013b7b7};{6ae9f0b5-d228-42d1-ba27-5955a5c4f20e};2177;NP-CZ-7016;148
{d14417c5-75a9-4931-a13b-b9052f5674b1};{c17ce7a8-6826-4c06-9a76-c47387bccd76};3675;NP-BAR22-4000;127
{d14417c5-75a9-4931-a13b-b9052f5674b1};{9aea49fe-7929-4678-8385-53e30d08fe85};2125;NP-BAR22-4000;148
{8ba24ba1-2b83-4389-b81f-c1c317a58dda};{404ba8d4-01e4-42cf-a055-20aa51751e0b};2515;NP-TF-7016;133
{7e89edb1-37c7-428b-9ef1-aef6f2060182};{c03618fc-6f6e-4a7a-96f1-fea841c8f5c7};2597;NP-CLB;148
{b5bb782c-c72f-403a-a45f-ff371285628c};{4ecc9826-ab8f-4cbe-969a-c04d7043f088};2497;NP-CLT-7016;127
{b5bb782c-c72f-403a-a45f-ff371285628c};{00a8ec15-2272-4497-84f1-46491515bc05};2597;NP-CLT-7016;148
{fd73c444-1598-45e9-b481-575bab32770b};{1b438d50-63a7-4db3-9cf6-ac98116e5ae2};2497;NP-CLT-7016;139
{c7d4122e-088a-4ad3-9855-8dafdd597744};{a5472277-4931-4b5b-a1c4-11bbaa331e76};2597;NP-CL-7016;148
{19b600ce-18a1-46fa-9134-18543303f34d};{cadc260b-b9a5-4d72-b8f9-f41a057cf356};2497;NP-CL-7016;127
{19b600ce-18a1-46fa-9134-18543303f34d};{6eba8764-9490-4b3a-a6d9-0fd0392d9aea};2497;NP-CL-7016;139
{c6709b40-130b-4fc4-b5f7-5d52d3dfe008};{f7e1fffa-f728-4b10-9d4a-18b723129667};3727;NP-CZ-7016;127
{48e416b0-2a05-4c2f-b6e7-89b629f3218a};{19d31851-c588-4bf8-b9da-89e2926af2e7};3727;NP-CZ-7016;139
{fc5d77c2-3949-49f1-919c-66a231546aac};{4fcc27b4-82b3-4c9d-ba6d-32df8d9b9194};2464;NP-ROLL70-6000;133
{f8876efc-41a4-4012-a867-7fbaebbf0aa7};{ebcdbcef-3607-476b-855c-18a588ac2953};3845;NP-TF-7016;127
{7012afec-3bf4-4ddd-be58-ddde01ca3a80};{bd98d1cb-c770-4e1b-94da-e7f840ce206f};2497;NP-CLB;127
{c558f981-f606-45ef-9b33-d6a45637e536};{12701461-e0d0-4a06-a429-0a4ee455bb90};3820;NP-T-7016;127
{96e343bf-0d25-4f39-804d-a2a9301589f3};{6871ebe6-bfa8-4dfe-b961-e5f9af11a19b};2448;NP-SL-7016;133
{67d219a5-fa92-4922-a997-12ec455d12e9};{b8c7370a-52b2-4643-87c6-74a83eb507a0};3739;NP-ROLL70-6000;139
{4d7438e7-226e-497d-b5e9-6d74f47b335f};{c84eb836-5887-4f6d-ad0d-7c7acee19ead};3675;NP-BAR22-4000;139
{aacb9889-d99f-4dcb-a8dd-0e466d84da22};{f91669ce-aaf7-41ea-8f3f-0867057d38a6};180;NP-BAR12-4000;133
{967579eb-4809-43e9-aee6-2bc330e5b511};{6634b6eb-9101-49da-bc2d-ebc7ebcc3d7a};3845;NP-TF-7016;139
{2ed781f8-7f24-426f-946e-18698eaf26af};{154b30b2-e86d-40b6-a9a9-353864b90438};2497;NP-CLB;139
{f6901d76-13b0-4bb9-8d02-8f9d5992d3bc};{9fb729c6-6fd4-43a7-96d9-bbae6ffe61f7};2445;NP-SZ-7016;133
{982ebe8f-fff8-4df2-ac06-b1a8a676a555};{b9c3b50f-e184-493a-8a82-9e2c9fa9ab9c};3820;NP-T-7016;139
#LEFTOVERS
{e9f5681f-9ef9-4690-93f0-fc036f5df0ae};selejt;0
