#VERSION 2
#CUTPLANS
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};2;P;3669;MAT-S-677;{4979f9e5-21e5-41aa-9028-c7504a2a2cb5};298
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};3;K;2;KERF;{4979f9e5-21e5-41aa-9028-c7504a2a2cb5};298
#PIECES
{3d37cb26-bfd8-4372-95f5-ad4f72385cc5};{54ce5052-0523-400e-85ba-d87738533a2d};1525;NP-BAR22-3000;297
{70f93a2b-7633-4681-a3de-b8b8df99b107};{0f29fea9-ff4e-4ab5-a844-787fc4f35220};3000;NP-BAR22-3000;298
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};{0aeed8b8-ff11-444f-a6df-16792e5ef60a};2327;NP-CZ-9010;289
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};{34166f4f-72f7-4087-ac8c-0bc0921f956f};1107;NP-CZ-9010;292
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};{4cea887d-7038-4b12-9c05-85b226eb634b};2347;NP-CZ-9010;293
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};{649de4f5-07c6-43f3-b593-7338abbb6891};1002;NP-CZ-9010;294
{c7006738-2385-4950-a35d-f0b38a96535c};{911b902b-9f80-4680-be13-443f9c859a84};995;NP-TF-9010;290
{c7006738-2385-4950-a35d-f0b38a96535c};{5591fc35-d493-4c8c-a57f-2b986c187a0e};1225;NP-TF-9010;292
{c7006738-2385-4950-a35d-f0b38a96535c};{09f534c6-03a0-40bd-9fc0-9699c2572ce0};2465;NP-TF-9010;293
{c7006738-2385-4950-a35d-f0b38a96535c};{51cb7564-72cd-40ce-8006-803bb606d555};1120;NP-TF-9010;294
{71f4d3c9-d779-4e4c-b200-4c2905697464};{8df1236f-2c4b-4eb7-9752-bce541e920b6};825;NP-BAR22-3000;290
{71f4d3c9-d779-4e4c-b200-4c2905697464};{33557bc9-9e36-42a9-aa10-3b4e82621e47};1055;NP-BAR22-3000;292
{71f4d3c9-d779-4e4c-b200-4c2905697464};{a2a4a1a4-03f4-4202-85ee-f3193f4b6729};2295;NP-BAR22-3000;293
{71f4d3c9-d779-4e4c-b200-4c2905697464};{7528656c-a4e8-4549-bd5b-36d78efdd69f};950;NP-BAR22-3000;294
{71f4d3c9-d779-4e4c-b200-4c2905697464};{31cc91cc-c736-4683-99ca-9614e800b07f};205;NP-BAR22-3000;297
{71f4d3c9-d779-4e4c-b200-4c2905697464};{3cb9e474-e976-431c-a352-686039038162};605;NP-BAR22-3000;298
{2ed6076a-f91f-4120-ba20-30ada4b20184};{de71a347-6850-4477-ad8c-01d59b0fb373};970;NP-T-9010;290
{2ed6076a-f91f-4120-ba20-30ada4b20184};{4b92f0f2-8e79-4d3c-8fe4-9848eeb20eaf};1200;NP-T-9010;292
{2ed6076a-f91f-4120-ba20-30ada4b20184};{18c387ba-8a96-437b-87fe-b6c3109656a3};2440;NP-T-9010;293
{2ed6076a-f91f-4120-ba20-30ada4b20184};{dab24519-ebf0-4075-9889-8c553b5e5f6d};1095;NP-T-9010;294
{0ac8de38-3e1d-4b01-820c-22588172f5fc};{7b7b73b5-5d89-450d-b992-4a45aeeccc86};889;NP-ROLL70-5000;290
{0ac8de38-3e1d-4b01-820c-22588172f5fc};{122a8917-58b9-4909-951a-d98f75a93143};1119;NP-ROLL70-5000;292
{0ac8de38-3e1d-4b01-820c-22588172f5fc};{16b91834-febf-4bab-b676-7d591355ff8a};2359;NP-ROLL70-5000;293
{0ac8de38-3e1d-4b01-820c-22588172f5fc};{964c3ac1-5700-482e-8b0d-00f3077421a4};1014;NP-ROLL70-5000;294
{72bdb098-627b-475e-b738-82c86ff307d3};{3ba269a6-e9f8-4af3-af5d-b5116ca6896a};877;NP-CZ-9010;290
{72bdb098-627b-475e-b738-82c86ff307d3};{0fab7409-d794-44e6-a49e-00817bf63762};2312;NP-CZ-9010;291
{72bdb098-627b-475e-b738-82c86ff307d3};{1d34fb61-a9b3-48f1-82fa-2e764aff71ba};3657;NP-CZ-9010;298
{4668ec4c-5195-4a8f-b66d-ada74cb31387};{4282ec08-3dbf-4952-80dc-efce87c216c7};1925;NP-TF-9010;297
{4668ec4c-5195-4a8f-b66d-ada74cb31387};{cdd8cc45-07f9-424d-963b-50ac16c1a925};3775;NP-TF-9010;298
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};{37c55371-6c35-41d5-9200-e2ea3a652807};1900;NP-T-9010;297
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};{8e694303-1f9e-471e-962f-4a4ae5a034b3};3750;NP-T-9010;298
{14414f7f-5b28-4eca-8b97-6069703ac69a};{7cef95b5-5605-4852-8870-19fb5e017d12};2339;NP-ROLL70-5000;289
{14414f7f-5b28-4eca-8b97-6069703ac69a};{ee2fb312-812a-4908-9e8a-f984d51f61b0};2324;NP-ROLL70-5000;291
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};{83474d43-2160-4abe-8142-1f10faff47ff};2445;NP-TF-9010;289
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};{91fcaed0-000c-4829-8b2e-1a54b9f87c5c};2430;NP-TF-9010;291
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};{9361a15a-c903-4e36-831f-6afffba667d2};2275;NP-BAR22-3000;289
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};{3b42f14f-10c3-4ab9-8ae5-f962ac0e1dc0};2260;NP-BAR22-3000;291
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};{61d1cc7b-5955-413f-a6b0-5834cde4d862};2420;NP-T-9010;289
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};{95fe8aae-b7e2-40cf-9563-b63be35ed2c6};2405;NP-T-9010;291
{90b55327-9459-46a6-aaf8-3c46a8a92664};{35909c61-7a53-40ca-8964-bb177d14dbb8};1807;NP-CZ-9010;297
{9d8536ba-5ea7-44ed-aea7-cb5191f5cf4d};{51de07e4-1178-489f-affd-18f31eae9559};1819;NP-ROLL70-5000;297
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};{4979f9e5-21e5-41aa-9028-c7504a2a2cb5};3669;NP-ROLL78-7000;298
#LEFTOVERS
{3d37cb26-bfd8-4372-95f5-ad4f72385cc5};selejt;0
{70f93a2b-7633-4681-a3de-b8b8df99b107};selejt;0
{9b7917cd-2d71-49ec-85f7-190610dc1aa8};selejt;186
{c7006738-2385-4950-a35d-f0b38a96535c};selejt;164
{71f4d3c9-d779-4e4c-b200-4c2905697464};selejt;201
{2ed6076a-f91f-4120-ba20-30ada4b20184};selejt;264
{0ac8de38-3e1d-4b01-820c-22588172f5fc};selejt;609
{72bdb098-627b-475e-b738-82c86ff307d3};selejt;126.2
{4668ec4c-5195-4a8f-b66d-ada74cb31387};selejt;275.4
{a05bee6c-1b7b-4079-b8e1-e9e937b3b6e3};selejt;325.4
{14414f7f-5b28-4eca-8b97-6069703ac69a};RST-C-325;1331
{4fce1cf9-2e67-4db9-b9d7-b99fcc76a789};RST-C-326;1100.4
{81bfdd6c-26f7-4e7c-9279-c341d8cfff30};RST-C-327;1609
{f0aa5214-dbba-4051-b7dd-6a0a06bae3ad};RST-C-328;1150.4
{90b55327-9459-46a6-aaf8-3c46a8a92664};RST-C-329;5171.6
{9d8536ba-5ea7-44ed-aea7-cb5191f5cf4d};RST-C-330;4177
{3e17c0e5-42fe-4232-a8e7-6b3dd7fa004c};RST-C-331;3327
