#VERSION 2
#CUTPLANS
{c521289f-329c-44b9-96f1-ec1aa3be5505};{2cd5e97d-ee95-49b7-ab61-c89ef80f6a1d};3000;NP-BAR22-3000;298
{931e4592-0b6d-4e5c-a31c-894d79587ef7};{5290fabb-8db1-424f-93b1-49db76b6d02b};2327;NP-CZ-9010;289
{931e4592-0b6d-4e5c-a31c-894d79587ef7};{7942e5a4-313d-4eec-a873-c4cde9647b37};1107;NP-CZ-9010;292
{931e4592-0b6d-4e5c-a31c-894d79587ef7};{12794916-2e58-4376-9d85-8b774b32b1af};2347;NP-CZ-9010;293
{931e4592-0b6d-4e5c-a31c-894d79587ef7};{25ebd802-81de-4cf0-8624-23c6a92b0469};1002;NP-CZ-9010;294
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};{3aa96165-995a-496f-a091-051080762441};995;NP-TF-9010;290
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};{5b9700b7-ee4e-45c1-acb1-f0e12f1a5ecf};1225;NP-TF-9010;292
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};{0b927be6-47ef-44b3-ab5d-1c66c355c59a};2465;NP-TF-9010;293
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};{08bed0d6-188d-4a8c-9d61-7249c99375c5};1120;NP-TF-9010;294
{67d34453-9a73-4265-9470-98573b738897};{7c4a588e-6e8f-488f-b5be-6efb978b91c1};825;NP-BAR22-3000;290
{67d34453-9a73-4265-9470-98573b738897};{ee088972-2146-403e-8dc5-450aaf73018a};1055;NP-BAR22-3000;292
{67d34453-9a73-4265-9470-98573b738897};{d92a2a5b-f47c-45fe-930d-f8f5fd19475e};2295;NP-BAR22-3000;293
{67d34453-9a73-4265-9470-98573b738897};{6c19e1a5-d823-40bf-a5a7-4821aac22818};950;NP-BAR22-3000;294
{67d34453-9a73-4265-9470-98573b738897};{d08f53e9-c8ab-4f13-bdc1-ec27bf846a03};205;NP-BAR22-3000;297
