#VERSION 2
#CUTPLANS
{363166c6-5665-4152-9954-17fb3bc61ac3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{363166c6-5665-4152-9954-17fb3bc61ac3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{363166c6-5665-4152-9954-17fb3bc61ac3};2;P;2420;MAT-S-591;{e3391835-3cb5-47d7-abed-bf9d5e8c2a28};289
{363166c6-5665-4152-9954-17fb3bc61ac3};3;K;3.2;KERF;{e3391835-3cb5-47d7-abed-bf9d5e8c2a28};289
{363166c6-5665-4152-9954-17fb3bc61ac3};4;P;2405;MAT-S-592;{f06edd27-34d3-4284-843a-83b22bf78f21};291
{363166c6-5665-4152-9954-17fb3bc61ac3};5;K;3.2;KERF;{f06edd27-34d3-4284-843a-83b22bf78f21};291
{d154ca43-5584-4ede-a160-33c5eb752fb0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d154ca43-5584-4ede-a160-33c5eb752fb0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d154ca43-5584-4ede-a160-33c5eb752fb0};2;P;2445;MAT-S-595;{d3413c20-3a83-46f2-b853-8ad165727666};289
{d154ca43-5584-4ede-a160-33c5eb752fb0};3;K;3.2;KERF;{d3413c20-3a83-46f2-b853-8ad165727666};289
{d154ca43-5584-4ede-a160-33c5eb752fb0};4;P;2430;MAT-S-596;{d2cff926-d4ac-4ca6-a0c2-c5c1aa5772f0};291
{d154ca43-5584-4ede-a160-33c5eb752fb0};5;K;3.2;KERF;{d2cff926-d4ac-4ca6-a0c2-c5c1aa5772f0};291
{c458f001-542c-429c-baac-f8089ec75045};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c458f001-542c-429c-baac-f8089ec75045};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c458f001-542c-429c-baac-f8089ec75045};2;P;1819;MAT-S-599;{740dd3a1-b975-4adc-a38d-201ac0c07556};297
{c458f001-542c-429c-baac-f8089ec75045};3;K;2;KERF;{740dd3a1-b975-4adc-a38d-201ac0c07556};297
{872c7030-c63e-4954-9360-572d5bcc1b42};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{872c7030-c63e-4954-9360-572d5bcc1b42};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{872c7030-c63e-4954-9360-572d5bcc1b42};2;P;1807;MAT-S-602;{a203f0ee-f634-4a23-80fc-7f1361e75586};297
{872c7030-c63e-4954-9360-572d5bcc1b42};3;K;3.2;KERF;{a203f0ee-f634-4a23-80fc-7f1361e75586};297
{d0d55420-2ce3-4162-a915-74862b7f1981};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
