#VERSION 2
#CUTPLANS
{13f718d9-5f6c-4c23-b8e2-4f7a1a7f4ac6};1;K;3.2;KERF;{b4ce2f21-4381-4178-b6bd-5c671c33da4a};304
#PIECES
{8dc53c45-f669-4c1d-a38f-f3a4aa3e40be};{72d557d7-2c03-4017-9bde-80cdda8e34fb};1125;NP-BAR22-3000;301
{73fbfad7-3771-4ee2-a402-ba9f5711d9ce};{92e32c97-3da4-4e5a-b893-26c09deaa97d};2060;NP-T-9010;302
{73fbfad7-3771-4ee2-a402-ba9f5711d9ce};{48891dad-d7b3-409e-a0e9-e8a09a76fa63};2590;NP-T-9010;304
{2927a2ec-d218-406b-91c2-f3dbfb25eeb2};{7b05d210-8453-41ad-b56d-b1fb78e2bbcb};2085;NP-TF-9010;302
{2927a2ec-d218-406b-91c2-f3dbfb25eeb2};{658548fe-005b-4be7-aafe-c85bca2727b5};2135;NP-TF-9010;303
{d3bfd188-c173-4139-98e4-e7e7556dc453};{cb1c1039-1d6d-4980-9095-e9225c4df13f};2017;NP-CZ-9010;303
{d3bfd188-c173-4139-98e4-e7e7556dc453};{06595ae4-e0b7-49a3-ba4f-66c63698bb51};2597;NP-CZ-9010;305
{1bec0ecb-e079-4223-8be9-1bc1e7b9c48e};{bdfb5336-c6e0-4c74-ae9f-c55e03607e9b};175;NP-BAR22-3000;301
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};{f0c35611-c068-4b6e-a476-29716f7a0a89};2257;NP-CL2+CLT2+CLB2-9010;301
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};{830457a3-7e3a-4111-82b5-947c58496ea0};2257;NP-CL2+CLT2+CLB2-9010;302
{d9b4250b-03bf-43a7-a131-d3baeb8dac6c};{e49d8647-ea42-42b7-8e51-4c546c4623e5};2267;NP-CL2+CLT2+CLB2-9010;304
{5c164503-a840-4b26-ba6a-c95746f278ed};{b4dc6e2f-bd32-422b-bcd0-4435554a0fce};1389;NP-ROLL70-5000;301
{3a853685-bfdd-4f13-ac09-51edc415d279};{f323e7d1-4ed5-4a66-a7d0-26bd21a915cc};2445;NP-BAR22-3000;304
{3a853685-bfdd-4f13-ac09-51edc415d279};{0e8722f3-a2db-44a7-aed3-1b2cea20da3f};2545;NP-BAR22-3000;305
{c164bad0-7849-4dfc-8600-5a373529cad0};{6ba71828-7c6b-4fed-a3f8-11cae2510ef7};2029;NP-ROLL70-5000;303
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};{bcb8df75-8af5-45c6-ab9b-2cb2fcb6ad0a};2110;NP-T-9010;303
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};{51104d92-3698-43f7-9aae-ec991ff22c85};2690;NP-T-9010;305
{b51abbc6-e089-48f6-8d51-837c7d6cc7a9};{8bd69373-fe24-4f8b-ae2c-674521ed6396};2715;NP-TF-9010;305
{29466e78-8b5a-43e5-aed6-5ec3dc5584a3};{f3b8ad25-5253-49c2-bb7f-d90453015339};1377;NP-CZ-9010;301
