materialBarCode;availableLength_mm;source;optimizationId;barcode;storageBarcode;createdAt;lastSeenAt;status;notFoundCount
NP-CLB;1000;Manual;;RSM-372;CM2WH;2026-07-09T07:54:56;2026-07-09T07:54:56;unknown;0
NP-CLB;1000;Manual;;RSM-373;CM2WH;2026-07-09T07:55:07;2026-07-09T07:55:07;unknown;0
NP-CLB;1200;Manual;;RSM-375;CM2WH;2026-07-09T07:55:28;2026-07-09T07:55:28;unknown;0
NP-CLB;1200;Manual;;RSM-376;CM2WH;2026-07-09T07:55:35;2026-07-09T07:55:35;unknown;0
NP-CLB;1200;Manual;;RSM-377;CM2WH;2026-07-09T07:55:45;2026-07-09T07:55:45;unknown;0
NP-CLB;1200;Manual;;RSM-378;CM2WH;2026-07-09T07:55:55;2026-07-09T07:55:55;unknown;0
NP-TF;1150;Manual;;RSM-381;CM2WH;2026-07-09T07:56:49;2026-07-09T07:56:49;unknown;0
NP-TF;1070;Manual;;RSM-382;CM2WH;2026-07-09T08:41:13;2026-07-09T08:41:13;unknown;0
NP-CLB;1000;Manual;;RSM-383;CM2WH;2026-07-09T08:41:25;2026-07-09T08:41:25;unknown;0
NP-CLB;1200;Manual;;RSM-387;CM2WH;2026-07-09T08:41:41;2026-07-09T08:41:41;unknown;0
NP-CLB;1350;Manual;;RSM-388;CM2WH;2026-07-09T08:41:45;2026-07-09T08:41:45;unknown;0
NP-CLB;1550;Manual;;RSM-389;CM2WH;2026-07-09T08:41:48;2026-07-09T08:41:48;unknown;0
NP-SZ;1980;Manual;;RSM-392;CM2WH;2026-07-09T08:42:27;2026-07-09T08:42:27;unknown;0
NP-CL-7016;1425;Manual;;RSM-396;CM2WH;2026-07-10T11:16:30;2026-07-10T11:16:30;unknown;0
NP-CL-7016;1850;Manual;;RSM-397;CM2WH;2026-07-10T11:16:40;2026-07-10T11:16:40;unknown;0
NP-CZ-7016;725;Manual;;RSM-409;CM2WH;2026-07-10T11:19:46;2026-07-10T11:19:46;unknown;0
NP-CZ;1010;Manual;;RSM-410;CM2WH;2026-07-10T11:20:01;2026-07-10T11:20:01;unknown;0
NP-CLB;1525;Manual;;RSM-412;CM2WH;2026-07-10T12:01:19;2026-07-10T12:01:19;unknown;0
NP-CLB;1600;Manual;;RSM-413;CM2WH;2026-07-10T12:01:32;2026-07-10T12:01:32;unknown;0
NP-CLB;1250;Manual;;RSM-415;CM2WH;2026-07-10T12:01:46;2026-07-20T11:59:30;unknown;0
NP-CLB;1250;Manual;;RSM-416;CM2WH;2026-07-10T12:11:51;2026-07-10T12:11:51;unknown;0
NP-CLB;1225;Manual;;RSM-418;CM2WH;2026-07-10T12:12:00;2026-07-10T12:12:00;unknown;0
NP-CLB;1225;Manual;;RSM-419;CM2WH;2026-07-10T12:12:03;2026-07-10T12:12:03;unknown;0
NP-CLB;1225;Manual;;RSM-420;CM2WH;2026-07-10T12:12:06;2026-07-10T12:12:06;unknown;0
NP-CLB;1225;Manual;;RSM-421;CM2WH;2026-07-10T12:12:10;2026-07-10T12:12:10;unknown;0
NP-CZ-7016;1575;Manual;;RSM-422;CM2WH;2026-07-10T12:13:18;2026-07-10T12:13:18;unknown;0
NP-CZ-7016;675;Manual;;RSM-423;CM2WH;2026-07-10T12:13:21;2026-07-10T12:13:21;unknown;0
NP-T-7016;1250;Manual;;RSM-424;CM2WH;2026-07-10T12:13:41;2026-07-10T12:13:41;unknown;0
NP-T-7016;1450;Manual;;RSM-425;CM2WH;2026-07-10T12:13:53;2026-07-10T12:13:53;unknown;0
NP-TF-7016;1250;Manual;;RSM-426;CM2WH;2026-07-10T12:14:01;2026-07-10T12:14:01;unknown;0
NP-TF-7016;1175;Manual;;RSM-427;CM2WH;2026-07-10T12:39:09;2026-07-10T12:39:09;unknown;0
NP-CLBR;2500;Manual;;RSM-428;CM2WH;2026-07-10T12:39:23;2026-07-10T12:39:23;unknown;0
NP-TF;1200;Manual;;RSM-429;CM2WH;2026-07-10T12:39:34;2026-07-10T12:39:34;unknown;0
